nom_exp,default_len,w_e_len,s1_n1_len,s2_n2_len,middle_len,stop_generation_time,w_e_flow,s1_n1_flow,s2_n2_flow,w_e_speed,s1_n1_speed,s2_n2_speed,w1_e1_green_time,s1_n1_green_time,w2_e2_green_time,s2_n2_green_time,yellow_time,simulation_duration,loaded_900,inserted_900,running_900,waiting_900,ended_900,halting_900,stopped_900,meanWaitingTime_900,meanTravelTime_900,meanSpeed_900,loaded_1800,inserted_1800,running_1800,waiting_1800,ended_1800,halting_1800,stopped_1800,meanWaitingTime_1800,meanTravelTime_1800,meanSpeed_1800,loaded_2700,inserted_2700,running_2700,waiting_2700,ended_2700,halting_2700,stopped_2700,meanWaitingTime_2700,meanTravelTime_2700,meanSpeed_2700,loaded_3600,inserted_3600,running_3600,waiting_3600,ended_3600,halting_3600,stopped_3600,meanWaitingTime_3600,meanTravelTime_3600,meanSpeed_3600
exp_carrefour_double_tous_parametres_variables0,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,10,3,3601,75.0,75.0,2.0,0.0,73.0,0.0,0.0,0.0,44.01,9.43,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,44.71,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,44.71,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,44.71,-1.0
exp_carrefour_double_tous_parametres_variables1,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,30,3,3601,75.0,75.0,3.0,0.0,72.0,0.0,0.0,0.0,43.36,3.75,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.83,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.83,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.83,-1.0
exp_carrefour_double_tous_parametres_variables2,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,60,3,3601,75.0,75.0,3.0,0.0,72.0,2.0,0.0,0.0,47.03,0.79,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,48.08,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,48.08,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,48.08,-1.0
exp_carrefour_double_tous_parametres_variables3,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,90,3,3601,75.0,75.0,3.0,0.0,72.0,2.0,0.0,0.0,64.81,1.61,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,68.03,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,68.03,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,68.03,-1.0
exp_carrefour_double_tous_parametres_variables4,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,120,3,3601,75.0,75.0,8.0,0.0,67.0,8.0,0.0,0.0,72.75,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,102.59,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,102.59,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,102.59,-1.0
exp_carrefour_double_tous_parametres_variables5,100,100,100,100,100,900,100,100,100,30,30,30,10,30,10,10,3,3601,75.0,75.0,2.0,0.0,73.0,0.0,0.0,0.0,44.08,11.77,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.95,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.95,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.95,-1.0
exp_carrefour_double_tous_parametres_variables6,100,100,100,100,100,900,100,100,100,30,30,30,10,30,10,30,3,3601,75.0,75.0,4.0,0.0,71.0,2.0,0.0,0.0,52.37,4.16,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,53.15,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,53.15,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,53.15,-1.0
exp_carrefour_double_tous_parametres_variables7,100,100,100,100,100,900,100,100,100,30,30,30,10,30,10,60,3,3601,75.0,75.0,3.0,0.0,72.0,2.0,0.0,0.0,48.29,2.92,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,49.17,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,49.17,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,49.17,-1.0
exp_carrefour_double_tous_parametres_variables8,100,100,100,100,100,900,100,100,100,30,30,30,10,30,10,90,3,3601,75.0,75.0,4.0,0.0,71.0,3.0,0.0,0.0,56.46,2.04,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,59.85,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,59.85,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,59.85,-1.0
exp_carrefour_double_tous_parametres_variables9,100,100,100,100,100,900,100,100,100,30,30,30,10,30,10,120,3,3601,75.0,75.0,9.0,0.0,66.0,8.0,0.0,0.0,74.35,0.91,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,103.56,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,103.56,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,103.56,-1.0
exp_carrefour_double_tous_parametres_variables10,100,100,100,100,100,900,100,100,100,30,30,30,10,60,10,10,3,3601,75.0,75.0,3.0,0.0,72.0,1.0,0.0,0.0,48.14,4.36,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,49.07,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,49.07,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,49.07,-1.0
exp_carrefour_double_tous_parametres_variables11,100,100,100,100,100,900,100,100,100,30,30,30,10,60,10,30,3,3601,75.0,75.0,2.0,0.0,73.0,1.0,0.0,0.0,52.03,4.12,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,52.17,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,52.17,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,52.17,-1.0
exp_carrefour_double_tous_parametres_variables12,100,100,100,100,100,900,100,100,100,30,30,30,10,60,10,60,3,3601,75.0,75.0,4.0,0.0,71.0,4.0,0.0,0.0,62.65,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,66.79,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,66.79,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,66.79,-1.0
exp_carrefour_double_tous_parametres_variables13,100,100,100,100,100,900,100,100,100,30,30,30,10,60,10,90,3,3601,75.0,75.0,3.0,0.0,72.0,3.0,0.0,0.0,64.19,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,67.47,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,67.47,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,67.47,-1.0
exp_carrefour_double_tous_parametres_variables14,100,100,100,100,100,900,100,100,100,30,30,30,10,60,10,120,3,3601,75.0,75.0,8.0,0.0,67.0,8.0,0.0,0.0,78.54,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,107.75,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,107.75,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,107.75,-1.0
exp_carrefour_double_tous_parametres_variables15,100,100,100,100,100,900,100,100,100,30,30,30,10,90,10,10,3,3601,75.0,75.0,5.0,0.0,70.0,3.0,0.0,0.0,62.87,2.62,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,68.11,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,68.11,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,68.11,-1.0
exp_carrefour_double_tous_parametres_variables16,100,100,100,100,100,900,100,100,100,30,30,30,10,90,10,30,3,3601,75.0,75.0,3.0,0.0,72.0,2.0,0.0,0.0,60.75,3.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,62.44,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,62.44,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,62.44,-1.0
exp_carrefour_double_tous_parametres_variables17,100,100,100,100,100,900,100,100,100,30,30,30,10,90,10,60,3,3601,75.0,75.0,4.0,0.0,71.0,4.0,0.0,0.0,58.93,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,64.24,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,64.24,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,64.24,-1.0
exp_carrefour_double_tous_parametres_variables18,100,100,100,100,100,900,100,100,100,30,30,30,10,90,10,90,3,3601,75.0,75.0,6.0,0.0,69.0,6.0,0.0,0.0,81.48,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,95.2,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,95.2,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,95.2,-1.0
exp_carrefour_double_tous_parametres_variables0,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,10,3,3601,75.0,75.0,2.0,0.0,73.0,0.0,0.0,0.0,42.78,10.21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.47,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.47,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,43.47,-1.0
exp_carrefour_double_tous_parametres_variables1,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,30,3,3601,75.0,75.0,2.0,0.0,73.0,0.0,0.0,0.0,43.74,7.91,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,44.09,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,44.09,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,44.09,-1.0
exp_carrefour_double_tous_parametres_variables2,100,100,100,100,100,900,100,100,100,30,30,30,10,10,10,60,3,3601,75.0,75.0,3.0,0.0,72.0,1.0,0.0,0.0,47.31,2.99,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,48.35,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,48.35,-1.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,48.35,-1.0
exp_carrefour_double_tous_parametres_variables0,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,10,3,3601,150.0,150.0,6.0,0.0,144.0,0.0,0.0,0.01,38.81,5.99,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.14,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.14,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.14,-1.0
exp_carrefour_double_tous_parametres_variables1,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,30,3,3601,150.0,150.0,5.0,0.0,145.0,0.0,0.0,0.03,43.9,6.44,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,44.34,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,44.34,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,44.34,-1.0
exp_carrefour_double_tous_parametres_variables2,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,60,3,3601,150.0,150.0,5.0,0.0,145.0,2.0,0.0,0.03,48.17,3.19,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,48.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,48.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,48.42,-1.0
exp_carrefour_double_tous_parametres_variables3,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,90,3,3601,150.0,150.0,7.0,0.0,143.0,2.0,0.0,0.01,54.52,5.3,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,55.13,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,55.13,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,55.13,-1.0
exp_carrefour_double_tous_parametres_variables4,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,120,3,3601,150.0,150.0,15.0,0.0,135.0,14.0,0.0,0.07,79.89,0.77,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,101.39,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,101.39,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,101.39,-1.0
exp_carrefour_double_tous_parametres_variables5,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,10,3,3601,150.0,150.0,7.0,0.0,143.0,0.0,0.0,0.02,45.21,5.97,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,45.6,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,45.6,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,45.6,-1.0
exp_carrefour_double_tous_parametres_variables6,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,30,3,3601,150.0,150.0,3.0,0.0,147.0,0.0,0.0,0.05,46.14,8.15,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.25,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.25,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.25,-1.0
exp_carrefour_double_tous_parametres_variables7,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,60,3,3601,150.0,150.0,6.0,0.0,144.0,3.0,0.0,0.07,51.19,5.28,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,51.31,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,51.31,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,51.31,-1.0
exp_carrefour_double_tous_parametres_variables8,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,90,3,3601,150.0,150.0,6.0,0.0,144.0,3.0,0.0,0.02,57.15,5.08,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,57.61,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,57.61,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,57.61,-1.0
exp_carrefour_double_tous_parametres_variables9,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,120,3,3601,150.0,150.0,18.0,0.0,132.0,15.0,0.0,0.08,84.6,1.73,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,104.94,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,104.94,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,104.94,-1.0
exp_carrefour_double_tous_parametres_variables10,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,60,10,10,3,3601,150.0,150.0,5.0,0.0,145.0,3.0,0.0,0.02,48.32,4.13,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,48.83,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,48.83,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,48.83,-1.0
exp_carrefour_double_tous_parametres_variables11,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,60,10,30,3,3601,150.0,150.0,3.0,0.0,147.0,2.0,0.0,0.09,51.9,3.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.09,52.56,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.09,52.56,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.09,52.56,-1.0
exp_carrefour_double_tous_parametres_variables12,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,60,10,60,3,3601,150.0,150.0,5.0,0.0,145.0,5.0,0.0,0.07,57.63,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,58.21,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,58.21,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,58.21,-1.0
exp_carrefour_double_tous_parametres_variables13,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,60,10,90,3,3601,150.0,150.0,7.0,0.0,143.0,7.0,0.0,0.07,72.36,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,73.96,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,73.96,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,73.96,-1.0
exp_carrefour_double_tous_parametres_variables14,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,60,10,120,3,3601,150.0,150.0,17.0,0.0,133.0,17.0,0.0,0.11,88.24,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.11,109.06,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.11,109.06,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.11,109.06,-1.0
exp_carrefour_double_tous_parametres_variables15,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,90,10,10,3,3601,150.0,150.0,7.0,0.0,143.0,4.0,0.0,0.05,57.22,3.28,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,60.1,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,60.1,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,60.1,-1.0
exp_carrefour_double_tous_parametres_variables16,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,90,10,30,3,3601,150.0,150.0,6.0,0.0,144.0,5.0,0.0,0.0,65.34,1.46,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,70.32,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,70.32,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,70.32,-1.0
exp_carrefour_double_tous_parametres_variables17,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,90,10,60,3,3601,150.0,150.0,7.0,0.0,143.0,7.0,0.0,0.02,69.22,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,72.28,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,72.28,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,72.28,-1.0
exp_carrefour_double_tous_parametres_variables18,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,90,10,90,3,3601,150.0,150.0,11.0,0.0,139.0,11.0,0.0,0.0,81.94,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,86.53,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,86.53,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,86.53,-1.0
exp_carrefour_double_tous_parametres_variables19,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,90,10,120,3,3601,150.0,150.0,18.0,0.0,132.0,18.0,0.0,0.03,97.01,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,118.03,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,118.03,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,118.03,-1.0
exp_carrefour_double_tous_parametres_variables20,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,120,10,10,3,3601,150.0,150.0,17.0,0.0,133.0,14.0,0.0,0.03,76.49,1.22,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,102.43,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,102.43,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,102.43,-1.0
exp_carrefour_double_tous_parametres_variables21,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,120,10,30,3,3601,150.0,150.0,16.0,0.0,134.0,16.0,0.0,0.04,84.16,0.01,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.04,114.29,-1.0
exp_carrefour_double_tous_parametres_variables22,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,120,10,60,3,3601,150.0,150.0,17.0,0.0,133.0,17.0,0.0,0.01,90.14,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,116.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,116.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,116.42,-1.0
exp_carrefour_double_tous_parametres_variables23,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,120,10,90,3,3601,150.0,150.0,17.0,0.0,133.0,17.0,0.0,0.08,96.47,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,120.74,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,120.74,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,120.74,-1.0
exp_carrefour_double_tous_parametres_variables0,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,10,3,3601,150.0,150.0,3.0,0.0,147.0,0.0,0.0,0.01,39.11,9.3,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.16,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.16,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.16,-1.0
exp_carrefour_double_tous_parametres_variables1,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,30,3,3601,150.0,150.0,3.0,0.0,147.0,0.0,0.0,0.0,44.59,8.38,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,44.95,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,44.95,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,44.95,-1.0
exp_carrefour_double_tous_parametres_variables2,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,60,3,3601,150.0,150.0,3.0,0.0,147.0,2.0,0.0,0.03,48.81,3.17,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,49.02,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,49.02,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,49.02,-1.0
exp_carrefour_double_tous_parametres_variables3,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,90,3,3601,150.0,150.0,3.0,0.0,147.0,2.0,0.0,0.03,53.74,3.51,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,54.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,54.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,54.42,-1.0
exp_carrefour_double_tous_parametres_variables4,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,120,3,3601,150.0,150.0,19.0,0.0,131.0,18.0,0.0,0.01,83.24,0.55,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,119.56,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,119.56,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,119.56,-1.0
exp_carrefour_double_tous_parametres_variables5,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,10,3,3601,150.0,150.0,7.0,0.0,143.0,1.0,0.0,0.03,45.02,5.73,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,45.41,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,45.41,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,45.41,-1.0
exp_carrefour_double_tous_parametres_variables6,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,30,3,3601,150.0,150.0,4.0,0.0,146.0,0.0,0.0,0.05,46.65,9.96,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.7,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.7,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.7,-1.0
